PM25,PM10,NO2,Traffic_Density,Construction_Index,Industrial_Index,Source
79.7564484244958,123.27750556207194,69.7902715687878,43.708610696262625,39.12184381680601,27.248333326503335,Traffic
73.88418529047934,71.56566162692944,99.44706159103794,95.56428757689245,6.106411240646068,5.7369511078120805,Traffic
86.1978119249392,99.04674024143898,93.47675499445403,75.87945476302646,5.995559818804876,32.770311591618565,Traffic
76.8841496201404,124.58086135445842,77.21992202359712,63.8792635777333,19.562459861729355,24.897399605071485,Traffic
80.51692865083707,114.71266146883141,63.87934962647695,24.041677639819287,26.988943568209958,54.16965117880075,Industry
81.36529606792251,129.76697975437108,61.105227952807056,24.039506830258237,39.66833380135069,48.46233995621523,Industry
59.028486466017036,92.85913796841542,38.966003009663154,15.22752509513795,35.748291947292735,29.1674982558032,Construction
95.91155361784887,107.76186292462187,98.76681113677483,87.95585311974416,25.065621786953674,17.431404340399208,Traffic
118.09547849584854,147.15728621499113,107.54279815983676,64.1003510568888,17.313199982674963,79.04287729244734,Industry
,148.9718759379957,95.05205060408673,73.72653200164409,49.870602507097004,36.32012969568919,Traffic
81.92217298368381,98.11362389447993,48.163082139415955,11.85260448662222,24.178158600618783,55.06193886241896,Industry
89.92950655712995,106.47508537053073,102.31456726732046,97.29188669457949,25.312416094835395,11.244237406268862,Traffic
98.38527770913626,123.38803917581834,105.85031205090877,84.91983767203796,12.363071953625113,38.84717597275183,Traffic
49.38261079987018,92.03292509266092,39.16148723410498,29.110519961044854,40.76642969374682,2.202937589557239,Construction
83.55258188132258,125.01717939192682,52.686582313609605,26.364247048639054,36.21570016016699,40.436409432835994,Industry
99.54534877258286,120.56325505766497,79.9776955320941,26.506405886809045,14.934632575494218,77.12139256941619,Industry
62.84509809895343,85.56318293901359,63.640227097513545,37.381801866358394,8.707147052712921,30.736537038864018,Traffic
68.50096280622022,96.23858513835395,64.29030005998398,,35.622468593362086,3.119681005992927,Traffic
54.57594273339055,78.6133358916179,59.48834280101106,48.87505167779042,34.45300464265109,2.4764632735474823,Traffic
71.88299524547642,91.36052026919616,61.091093894872,36.21062261782377,17.29667871491942,31.03894079574956,Traffic
85.44023290766913,109.97816536247467,83.31322552548777,65.06676052501415,47.788860301268464,12.801994917055524,Traffic
33.20720233657594,43.53145332642359,29.95703199897664,22.554447458683764,11.79760513014051,1.868167706254873,Traffic
90.76257974024378,125.20394988090482,78.63408804599872,36.29301836816963,24.455066046917086,60.497089116014145,Industry
84.68069405789986,135.13038542092062,70.11878539019804,42.97256589643225,47.46271640754195,36.681840710551256,Construction
76.36862294036959,83.01709347708373,65.89264531414781,51.046298579533236,23.887729261675503,23.139581757812362,Traffic
140.64319519867635,173.09258267302448,124.1483566359252,80.66583652537122,33.73366764488385,72.00665464131846,Traffic
45.18543811757139,77.74042156513441,45.98058482604802,27.970640394252378,22.891747908325744,9.291116816042049,Traffic
119.17527188750896,130.09893203839235,108.38743800087637,56.28109945722505,17.33968410569015,76.47350631642554,Industry
82.36071920096744,116.6914731555419,80.87297239346813,63.31731119758382,49.27899415819227,25.117337390188226,Traffic
86.81108077502024,121.29226981434299,62.737392406327125,14.180537144799795,23.420030284176935,71.0722937846945,Industry
110.33425709923311,144.10542163503467,95.62289074837048,64.67903667112945,45.23446416556105,48.23543011835692,Traffic
84.70833952369932,114.21075164277849,69.7656202664121,25.34717113185624,15.347957265098879,66.136588779319,Industry
88.64298126517834,116.06729250442231,60.677208074645336,15.854643368675156,14.58971168112875,78.72105305683715,Industry
89.91928274165649,71.5317427323832,104.24774007615444,95.39969835279999,6.401033729803011,23.072435025499658,Traffic
